  x  	  n(x)  	  dndx(x)  	  Alfa  	  Band gap  	  EQ Field
 5.928e-07	1.22e+11	-1.295e+16	8.163e+06	2.664	-1.615e+05
 6.006e-07	1.219e+11	-1.328e+16	8.173e+06	2.663	-1.615e+05
 6.084e-07	1.218e+11	-1.358e+16	8.183e+06	2.662	-1.615e+05
 6.162e-07	1.217e+11	-1.386e+16	8.194e+06	2.66	-1.615e+05
  6.24e-07	1.216e+11	-1.412e+16	8.204e+06	2.659	-1.615e+05
 6.318e-07	1.215e+11	-1.437e+16	8.214e+06	2.658	-1.615e+05
 6.396e-07	1.214e+11	-1.46e+16	8.225e+06	2.657	-1.615e+05
 6.474e-07	1.213e+11	-1.481e+16	8.235e+06	2.655	-1.615e+05
 6.552e-07	1.212e+11	-1.501e+16	8.246e+06	2.654	-1.615e+05
  6.63e-07	1.21e+11	-1.52e+16	8.256e+06	2.653	-1.615e+05
 6.708e-07	1.209e+11	-1.537e+16	8.266e+06	2.652	-1.615e+05
 6.786e-07	1.208e+11	-1.553e+16	8.277e+06	2.65	-1.615e+05
 6.864e-07	1.207e+11	-1.569e+16	8.287e+06	2.649	-1.615e+05
 6.942e-07	1.206e+11	-1.583e+16	8.298e+06	2.648	-1.615e+05
  7.02e-07	1.204e+11	-1.596e+16	8.308e+06	2.647	-1.615e+05
 7.098e-07	1.203e+11	-1.608e+16	8.319e+06	2.645	-1.615e+05
 7.176e-07	1.202e+11	-1.619e+16	8.329e+06	2.644	-1.615e+05
 7.254e-07	1.201e+11	-1.63e+16	8.34e+06	2.643	-1.615e+05
 7.332e-07	1.199e+11	-1.639e+16	8.35e+06	2.642	-1.615e+05
  7.41e-07	1.198e+11	-1.648e+16	8.361e+06	2.64	-1.615e+05
 7.488e-07	1.197e+11	-1.657e+16	8.371e+06	2.639	-1.615e+05
 7.566e-07	1.195e+11	-1.664e+16	8.382e+06	2.638	-1.615e+05
 7.644e-07	1.194e+11	-1.671e+16	8.392e+06	2.637	-1.615e+05
 7.722e-07	1.193e+11	-1.678e+16	8.403e+06	2.635	-1.615e+05
   7.8e-07	1.192e+11	-1.684e+16	8.413e+06	2.634	-1.615e+05
 7.878e-07	1.19e+11	-1.689e+16	8.424e+06	2.633	-1.615e+05
 7.956e-07	1.189e+11	-1.694e+16	8.435e+06	2.631	-1.615e+05
 8.034e-07	1.188e+11	-1.699e+16	8.445e+06	2.63	-1.615e+05
 8.112e-07	1.186e+11	-1.703e+16	8.456e+06	2.629	-1.615e+05
  8.19e-07	1.185e+11	-1.707e+16	8.467e+06	2.628	-1.615e+05
 8.268e-07	1.184e+11	-1.71e+16	8.477e+06	2.626	-1.615e+05
 8.346e-07	1.182e+11	-1.713e+16	8.488e+06	2.625	-1.615e+05
 8.424e-07	1.181e+11	-1.716e+16	8.499e+06	2.624	-1.615e+05
 8.502e-07	1.18e+11	-1.718e+16	8.509e+06	2.623	-1.615e+05
  8.58e-07	1.178e+11	-1.72e+16	8.52e+06	2.621	-1.615e+05
 8.658e-07	1.177e+11	-1.722e+16	8.531e+06	2.62	-1.615e+05
 8.736e-07	1.176e+11	-1.724e+16	8.542e+06	2.619	-1.615e+05
 8.814e-07	1.174e+11	-1.725e+16	8.552e+06	2.618	-1.615e+05
 8.892e-07	1.173e+11	-1.727e+16	8.563e+06	2.616	-1.615e+05
  8.97e-07	1.172e+11	-1.727e+16	8.574e+06	2.615	-1.615e+05
 9.048e-07	1.17e+11	-1.728e+16	8.585e+06	2.614	-1.615e+05
 9.126e-07	1.169e+11	-1.729e+16	8.596e+06	2.613	-1.615e+05
 9.204e-07	1.167e+11	-1.729e+16	8.606e+06	2.611	-1.615e+05
 9.282e-07	1.166e+11	-1.73e+16	8.617e+06	2.61	-1.615e+05
  9.36e-07	1.165e+11	-1.73e+16	8.628e+06	2.609	-1.615e+05
 9.438e-07	1.163e+11	-1.73e+16	8.639e+06	2.608	-1.615e+05
 9.516e-07	1.162e+11	-1.73e+16	8.65e+06	2.606	-1.615e+05
 9.594e-07	1.161e+11	-1.729e+16	8.661e+06	2.605	-1.615e+05
 9.672e-07	1.159e+11	-1.729e+16	8.672e+06	2.604	-1.615e+05
  9.75e-07	1.158e+11	-1.729e+16	8.683e+06	2.603	-1.615e+05
 9.828e-07	1.157e+11	-1.728e+16	8.694e+06	2.601	-1.615e+05
 9.906e-07	1.155e+11	-1.727e+16	8.705e+06	2.6	-1.615e+05
 9.984e-07	1.154e+11	-1.727e+16	8.716e+06	2.599	-1.615e+05
 1.006e-06	1.153e+11	-1.726e+16	8.727e+06	2.597	-1.615e+05
 1.014e-06	1.151e+11	-1.725e+16	8.738e+06	2.596	-1.615e+05
 1.022e-06	1.15e+11	-1.724e+16	8.749e+06	2.595	-1.615e+05
  1.03e-06	1.149e+11	-1.723e+16	8.76e+06	2.594	-1.615e+05
 1.037e-06	1.147e+11	-1.722e+16	8.771e+06	2.592	-1.615e+05
 1.045e-06	1.146e+11	-1.721e+16	8.782e+06	2.591	-1.615e+05
 1.053e-06	1.145e+11	-1.719e+16	8.793e+06	2.59	-1.615e+05
 1.061e-06	1.143e+11	-1.718e+16	8.804e+06	2.589	-1.615e+05
 1.069e-06	1.142e+11	-1.717e+16	8.815e+06	2.587	-1.615e+05
 1.076e-06	1.141e+11	-1.715e+16	8.826e+06	2.586	-1.615e+05
 1.084e-06	1.139e+11	-1.714e+16	8.837e+06	2.585	-1.615e+05
 1.092e-06	1.138e+11	-1.713e+16	8.848e+06	2.584	-1.615e+05
   1.1e-06	1.137e+11	-1.711e+16	8.86e+06	2.582	-1.615e+05
 1.108e-06	1.135e+11	-1.71e+16	8.871e+06	2.581	-1.615e+05
 1.115e-06	1.134e+11	-1.708e+16	8.882e+06	2.58	-1.615e+05
 1.123e-06	1.133e+11	-1.706e+16	8.893e+06	2.579	-1.615e+05
 1.131e-06	1.131e+11	-1.705e+16	8.904e+06	2.577	-1.615e+05
 1.139e-06	1.13e+11	-1.703e+16	8.916e+06	2.576	-1.615e+05
 1.147e-06	1.129e+11	-1.702e+16	8.927e+06	2.575	-1.615e+05
 1.154e-06	1.127e+11	-1.7e+16	8.938e+06	2.574	-1.615e+05
 1.162e-06	1.126e+11	-1.698e+16	8.949e+06	2.572	-1.615e+05
  1.17e-06	1.125e+11	-1.697e+16	8.961e+06	2.571	-1.615e+05
 1.178e-06	1.123e+11	-1.695e+16	8.972e+06	2.57	-1.615e+05
 1.186e-06	1.122e+11	-1.693e+16	8.983e+06	2.568	-1.615e+05
 1.193e-06	1.121e+11	-1.691e+16	8.995e+06	2.567	-1.615e+05
 1.201e-06	1.119e+11	-1.69e+16	9.006e+06	2.566	-1.615e+05
 1.209e-06	1.118e+11	-1.688e+16	9.017e+06	2.565	-1.615e+05
 1.217e-06	1.117e+11	-1.686e+16	9.029e+06	2.563	-1.615e+05
 1.225e-06	1.115e+11	-1.684e+16	9.04e+06	2.562	-1.615e+05
 1.232e-06	1.114e+11	-1.682e+16	9.051e+06	2.561	-1.615e+05
  1.24e-06	1.113e+11	-1.681e+16	9.063e+06	2.56	-1.615e+05
 1.248e-06	1.111e+11	-1.679e+16	9.074e+06	2.558	-1.615e+05
 1.256e-06	1.11e+11	-1.677e+16	9.086e+06	2.557	-1.615e+05
 1.264e-06	1.109e+11	-1.675e+16	9.097e+06	2.556	-1.615e+05
 1.271e-06	1.107e+11	-1.673e+16	9.109e+06	2.555	-1.615e+05
 1.279e-06	1.106e+11	-1.671e+16	9.12e+06	2.553	-1.615e+05
 1.287e-06	1.105e+11	-1.669e+16	9.132e+06	2.552	-1.615e+05
 1.295e-06	1.104e+11	-1.668e+16	9.143e+06	2.551	-1.615e+05
 1.303e-06	1.102e+11	-1.666e+16	9.155e+06	2.55	-1.615e+05
  1.31e-06	1.101e+11	-1.664e+16	9.166e+06	2.548	-1.615e+05
 1.318e-06	1.1e+11	-1.662e+16	9.178e+06	2.547	-1.615e+05
 1.326e-06	1.098e+11	-1.66e+16	9.189e+06	2.546	-1.615e+05
 1.334e-06	1.097e+11	-1.658e+16	9.201e+06	2.545	-1.615e+05
 1.342e-06	1.096e+11	-1.656e+16	9.212e+06	2.543	-1.615e+05
 1.349e-06	1.095e+11	-1.654e+16	9.224e+06	2.542	-1.615e+05
 1.357e-06	1.093e+11	-1.652e+16	9.236e+06	2.541	-1.615e+05
 1.365e-06	1.092e+11	-1.651e+16	9.247e+06	2.54	-1.615e+05
 1.373e-06	1.091e+11	-1.649e+16	9.259e+06	2.538	-1.615e+05
 1.381e-06	1.089e+11	-1.647e+16	9.271e+06	2.537	-1.615e+05
 1.388e-06	1.088e+11	-1.645e+16	9.282e+06	2.536	-1.615e+05
 1.396e-06	1.087e+11	-1.643e+16	9.294e+06	2.534	-1.615e+05
 1.404e-06	1.086e+11	-1.641e+16	9.306e+06	2.533	-1.615e+05
 1.412e-06	1.084e+11	-1.639e+16	9.317e+06	2.532	-1.615e+05
